cache_key,cl_cluster_id,idb_docket,circuit,agency,agency_name,cl_case_name,date_filed,outcome,outcome_label,apptype,nos,juris,administration_case,judgment_date,doctrine_era_judgment,administration_judgment,usapt,usape,claude_challenged_fr,claude_reasoning,fr_lookup_status,fr_citation_official,fr_document_number,fr_publication_date,fr_title,fr_agency_name,fr_parent_department,fr_sub_agency,is_independent_agency,rin_numbers,cfr_references,fr_html_url,fr_significant,fr_type,administration_rule,fr_abstract,fr_explanation,fr_cfr_topics,fr_cfr_references,fr_cfr_ref_titles,fr_topics,fr_page_length,fr_president,fr_action,fr_effective_on,fr_rin,fr_authority_raw,fr_authority_usc,fr_authority_titles
173776:71 FR 834,173776,09-15214,9,-9,NON-AGENCY,Modesto Irrigation District v. Gutierrez,02/03/2009,1,Affirmed/Enforced,3,893,2,Obama,08/20/2010,Chevron Era,Obama,0,0,71 FR 834,"The plaintiffs (irrigation districts) challenged NMFS's final listing determination published at 71 Fed. Reg. 834 (Jan. 5, 2006), which applied the DPS Policy to O. mykiss and listed Central Valley steelhead as a threatened species in its own distinct population segment. The court explicitly frames the case as ""a challenge to the decision of the National Marine Fisheries Service ('NMFS') to list the steelhead...as a threatened species,"" and the APA claims directly attack the final rule at 71 Fed. Reg. 834. The court affirmed the district court's grant of summary judgment upholding that final listing rule.",FOUND,71 FR 834,06-47,2006-01-05,Endangered and Threatened Species: Final Listing Determinations for 10 Distinct Population Segments of West Coast Steelhead,National Oceanic and Atmospheric Administration,Commerce Department,National Oceanic and Atmospheric Administration,False,0648-AR93,50 CFR 223; 50 CFR 224,https://www.federalregister.gov/documents/2006/01/05/06-47/endangered-and-threatened-species-final-listing-determinations-for-10-distinct-population-segments,True,Rule,Bush43,"We, NOAA's National Marine Fisheries Service (NMFS), are issuing final determinations to list 10 Distinct Population Segments (DPSs) of West Coast steelhead (Oncorhynchus mykiss) under the Endangered Species Act (ESA) of 1973, as amended. We are listing one steelhead DPS in California as endangered (the Southern California steelhead DPS), and nine steelhead DPSs in California, Oregon, Washington, and Idaho as threatened (the South-Central California Coast, Central California Coast, California Central Valley, Northern California, Lower Columbia River, Upper Willamette River, Middle Columbia River, Upper Columbia River, and Snake River Basin steelhead DPSs). All 10 of these DPSs were previously listed as threatened or endangered species. The Upper Columbia River steelhead DPS, formerly listed as an endangered species, is now being listed as threatened.",,"{'cfr_part': '223', 'topics': ['Endangered and threatened species'], 'cfr_title': 50}; {'cfr_part': '224', 'topics': ['Endangered and threatened species'], 'cfr_title': 50}",Title 50 Part 223; Title 50 Part 224,50,Endangered and threatened species,29,George W. Bush,Final rule.,2006-02-06,0648-AR93,"16 U.S.C. 1531 et seq. ; 16 U.S.C. 1531-1543; subpart B, Â§â223.12 also issued under 16 U.S.C. 1361 et seq. ; 16 U.S.C. 1531-1543 and 16 U.S.C. 1361 et seq.","16 USC 1531, 16 USC 1531-1543, 16 USC 1361",16
173267:nan,173267,06-1425,10,-9,NON-AGENCY,Fort Peck Housing Authority v. United States Department of Housing & Urban Development,10/03/2006,2,Reversed/Vacated,3,890,2,Bush43,02/19/2010,Chevron Era,Obama,1,0,,"Fort Peck challenged the validity of HUD's regulation at 24 C.F.R. § 1000.318, which was promulgated through the 1998 final rulemaking process (63 Fed. Reg. 12,334), arguing it was contrary to NAHASDA's statutory requirements. The district court invalidated the regulation and the Tenth Circuit reversed, holding it was a valid exercise of HUD's rulemaking authority. The FR citations appear only as background regulatory history (the proposed rule at 62 Fed. Reg. 35,718) and a response to public comments (63 Fed. Reg. 12,334), while the actual challenge is to the codified CFR regulation itself rather than a specific Federal Register rulemaking action.",PARSE_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150191:71 FR 42298,150191,08-2226,10,-9,NON-AGENCY,Forest Guardians v. United States Fish & Wildlife Service,09/24/2008,1,Affirmed/Enforced,3,893,2,Bush43,07/07/2010,Chevron Era,Obama,0,0,71 FR 42298,"Forest Guardians explicitly challenges the FWS's final 10(j) rule published at 71 Fed. Reg. 42,298 (July 26, 2006), which established a nonessential experimental population of Northern Aplomado Falcons in New Mexico and Arizona. The court reviews the rule under the APA, stating ""our task is not to decide which strategy is more scientifically sound; rather, we must review the 10(j) rule under the Administrative Procedure Act ('APA') to determine if the rule was promulgated in accordance with the ESA and NEPA."" The court affirms the district court's denial of Forest Guardians' ""petition for review of agency action,"" upholding the rule against challenges under both the ESA and NEPA.",FOUND,71 FR 42298,06-6486,2006-07-26,Endangered and Threatened Wildlife and Plants; Establishment of a Nonessential Experimental Population of Northern Aplomado Falcons in New Mexico and Arizona,Fish and Wildlife Service,Interior Department,Fish and Wildlife Service,False,1018-AI80,50 CFR 17,https://www.federalregister.gov/documents/2006/07/26/06-6486/endangered-and-threatened-wildlife-and-plants-establishment-of-a-nonessential-experimental,False,Rule,Bush43,"We, the U.S. Fish and Wildlife Service (Service), plan to reintroduce northern aplomado falcons (Falco femoralis septentrionalis) (falcon) into their historical habitat in southern New Mexico for the purpose of establishing a viable resident population in New Mexico and Arizona. The falcon is being re-established under section 10(j) of the Endangered Species Act of 1973, as amended (Act), and would be classified as a nonessential experimental population (NEP). The geographic boundary of the NEP includes all of New Mexico and Arizona. This action is part of a series of reintroductions and other recovery actions that the Service, Federal and State agencies, and other partners are conducting throughout the species"" historical range. This final rule provides a plan for establishing the NEP and provides for limited allowable legal taking of the northern aplomado falcon within the defined NEP area. Birds can only be released when they are a few weeks old, and this condition only occurs in the spring and summer of each year. In order to accomplish a release in 2006, we must expedite on-the-ground implementation.",,"{'cfr_part': '17', 'topics': ['Endangered and threatened species', 'Exports', 'Imports', 'Reporting and recordkeeping requirements', 'Transportation'], 'cfr_title': 50}",Title 50 Part 17,50,Endangered and threatened species; Exports; Imports; Reporting and recordkeeping requirements; Transportation,18,George W. Bush,Final rule.,2006-07-26,1018-AI80,"16 U.S.C. 1361-1407; 16 U.S.C. 1531-1544; 16 U.S.C. 4201-4245; Pub. L. 99-625, 100 Stat. 3500; unless otherwise noted.","16 USC 1361-1407, 16 USC 1531-1544, 16 USC 4201-4245, 16 USC 100",16
221576:73 FR 79473,221576,09-1001,0,7,EPA,Lake Carriers' Ass'n v. Environmental Protection Agency,01/05/2009,1,Affirmed/Enforced,1,-9,-9,Bush43,07/22/2011,Chevron Era,Obama,0,0,73 FR 79473,"The opinion explicitly states it involves ""Petitions for Review of a Final Action of the Environmental Protection Agency"" and the petitioners seek review of ""a nationwide permit issued by the Environmental Protection Agency...for the discharge of pollutants incidental to the normal operation of vessels"" published at 73 Fed. Reg. 79,473 (Dec. 29, 2008). The petitioners raise procedural challenges under the APA to the final VGP, asking the court to find EPA's promulgation of the permit unlawful. The 73 Fed. Reg. 34,296 citation refers only to the draft permit published for comment, not the challenged final rule.",FOUND,73 FR 79473,E8-30816,2008-12-29,Final National Pollutant Discharge Elimination System (NPDES) General Permit for Discharges Incidental to the Normal Operation of a Vessel,Environmental Protection Agency,Environmental Protection Agency,,True,,,https://www.federalregister.gov/documents/2008/12/29/E8-30816/final-national-pollutant-discharge-elimination-system-npdes-general-permit-for-discharges-incidental,,Notice,Bush43,"EPA Regions 1, 2, 3, 4, 5, 6, 7, 8, 9, and 10 are finalizing an NPDES Vessel General Permit (VGP) to cover discharges incidental to the normal operation of vessels. This action is in response to a District Court ruling that vacates, as of December 19, 2008, a long- standing EPA regulation that excludes discharges incidental to the normal operation of a vessel from the need to obtain an NPDES permit. As of December 19, 2008, discharges incidental to the normal operation of a vessel that had formerly been exempted from NPDES permitting by the regulation will be subject to the prohibition in CWA Section 301(a) against the discharge of pollutants without a permit. EPA solicited information and data on discharges incidental to normal vessel operations to assist in developing two NPDES general permits in a Federal Register Notice published June 21, 2007 (72 FR 32421). The majority of information and data in response to that notice came from seven different groups: Individual citizens, commercial fishing representatives, commercial shipping groups, environmental or outdoor recreation groups, the oil and gas industry, recreational boating-related businesses, and state governments. EPA considered all the information and data received along with other publicly available information in developing two proposed vessel permits. EPA published the two proposed permits and accompanying fact sheets for public comment on June 17, 2008 (73 FR 34296). As proposed, the VGP would have covered all commercial and non-recreational vessels and those recreational vessels longer or equal to 79 feet, and the proposed RGP would have covered recreational vessels less than 79 feet in length. However, after the permits were proposed, Congress enacted two new laws that impact the universe of vessels covered under today's permit. On July 29, 2008, Senate bill S. 2766 (""the Clean Boating Act of 2008"") was signed into law (Pub. L. 110-288). This law provides that recreational vessels shall not be subject to the requirement to obtain an NPDES permit to authorize discharges incidental to their normal operation. As a result of this legislation, EPA is not finalizing the proposed recreational vessel NPDES permit and has also modified the VGP, which included those recreational vessel over 79 feet, to eliminate that coverage. On July 31, 2008, Senate bill S. 3298 was signed into law (Pub. L. 110-299). This law generally imposes a two-year moratorium during which time neither EPA nor states can require NPDES permits for discharges (except ballast water discharges) incidental to the normal operation of vessels of less than 79 feet and commercial fishing vessels of any length. EPA is not taking final action on the proposed permit as it would apply to these vessels and has revised the final VGP to reflect the new law.",,,,,,9,George W. Bush,Notice of availability.,2008-12-19,,"Clean Water Act, 33 U.S.C. 1251 et seq.",33 USC 1251,33
"177917:73 FR 80,656",177917,09-1014,0,MSHA,MSHA,"International Union, United Mine Workers v. Mine Safety & Health Administration",01/13/2009,3,Mixed (Affirmed in Part),1,-9,-9,Bush43,10/26/2010,Chevron Era,Obama,0,0,"73 FR 80,656","The opinion explicitly states ""The International Union, United Mine Workers of America ('UMWA') petitions for review of the Refuge Alternatives for Underground Coal Mines, 73 Fed. Reg. 80,656 (Dec. 31, 2008) (codified at 30 C.F.R. pts. 7, 75) ('Final Rule')."" The court is asked to review a final MSHA rule on training requirements and refuge volume provisions, and it grants the petition in part (remanding the training provision) and denies it in part. The 73 FR 34,140 citation is merely the NPRM that preceded the challenged final rule.",FOUND,73 FR 80656,E8-30669,2008-12-31,Refuge Alternatives for Underground Coal Mines,Mine Safety and Health Administration,Labor Department,Mine Safety and Health Administration,False,1219-AB58,30 CFR 7; 30 CFR 75,https://www.federalregister.gov/documents/2008/12/31/E8-30669/refuge-alternatives-for-underground-coal-mines,True,Rule,Bush43,"The final rule establishes the Mine Safety and Health Administration's (MSHA) requirements for refuge alternatives in underground coal mines and the training of miners in their use. It includes testing and approval requirements. The final rule implements section 13 of the Mine Improvement and New Emergency Response (MINER) Act of 2006. Consistent with the MINER Act, it includes MSHA's response to the National Institute for Occupational Safety and Health (NIOSH) Report on Refuge Alternatives.",,"{'cfr_part': '7', 'topics': ['Incorporation by reference', 'Mine safety and health', 'Reporting and recordkeeping requirements', 'Underground mining'], 'cfr_title': 30}; {'cfr_part': '75', 'topics': ['Mine safety and health', 'Reporting and recordkeeping requirements', 'Safety', 'Underground mining'], 'cfr_title': 30}",Title 30 Part 7; Title 30 Part 75,30,Incorporation by reference; Mine safety and health; Reporting and recordkeeping requirements; Safety; Underground mining,45,George W. Bush,Final rule.,2009-03-02,1219-AB58,30 U.S.C. 957. ; 30 U.S.C. 811.,"30 USC 957, 30 USC 811",30
4382080:73 FR 76948,4382080,09-1017,0,7,EPA,Waterkeeper Alliance v. Environmental Protection Agency,01/15/2009,-8,Code -8,1,-9,-9,Bush43,10/19/2010,Chevron Era,Obama,0,0,73 FR 76948,"The opinion explicitly states it is deciding ""Petitions for Review of Final Regulation Issued by the U.S. Environmental Protection Agency"" and the court grants Waterkeeper's petition and ""vacate[s] the Final Rule"" — the CERCLA/EPCRA Administrative Reporting Exemption for Air Releases of Hazardous Substances from Animal Waste at Farms published at 73 Fed. Reg. 76,948 (Dec. 18, 2008). The 72 Fed. Reg. 73,700 citation refers only to the proposed rule cited as background context. The challenged rule was published before the case filing date of January 15, 2009.",FOUND,73 FR 76948,E8-30003,2008-12-18,CERCLA/EPCRA Administrative Reporting Exemption for Air Releases of Hazardous Substances From Animal Waste at Farms,Environmental Protection Agency,Environmental Protection Agency,,True,2050-AG37,40 CFR 302; 40 CFR 355,https://www.federalregister.gov/documents/2008/12/18/E8-30003/cerclaepcra-administrative-reporting-exemption-for-air-releases-of-hazardous-substances-from-animal,True,Rule,Bush43,"This final rule provides an administrative reporting exemption from particular notification requirements under the Comprehensive Environmental Response, Compensation, and Liability Act of 1980, as amended. In addition, this final rule provides a limited administrative reporting exemption in certain cases from requirements under the Emergency Planning and Community Right-to-Know Act, also known as Title III of the Superfund Amendments and Reauthorization Act. Specifically, the administrative reporting exemption applies to releases of hazardous substances to the air that meet or exceed their reportable quantity where the source of those hazardous substances is animal waste at farms. Nothing in this final rule changes the notification requirements if hazardous substances are released to the air from any source other than animal waste at farms (e.g., ammonia tanks), or if any hazardous substances from animal waste are released to any other environmental media, (e.g., soil, ground water, or surface water) when the release of those hazardous substances is at or above its reportable quantity. Also, the administrative reporting exemption under section 103 of the Comprehensive Environmental Response, Compensation, and Liability Act, does not limit any of the Agency's other authorities under the Comprehensive Environmental Response, Compensation, and Liability Act sections 104 (response authorities), 106 (abatement actions), 107 (liability), or any other provisions of the Comprehensive Emergency Response, Compensation, and Liability Act or the Emergency Planning and Community Right to Know Act. Accordingly, EPA believes this administrative reporting exemption not only leaves in place important Agency response authorities that can be used to protect human health and the environment if needed, but also is consistent with the Agency's goal to reduce reporting burden, particularly considering that Federal, State or local response officials are unlikely to respond to notifications of air releases of hazardous substances from animal waste at farms.",,"{'cfr_part': '302', 'topics': ['Air pollution control', 'Chemicals', 'Hazardous substances', 'Hazardous waste', 'Intergovernmental relations', 'Natural resources', 'Reporting and recordkeeping requirements', 'Superfund', 'Water pollution control', 'Water supply'], 'cfr_title': 40}; {'cfr_part': '355', 'topics': ['Air pollution control', 'Chemicals', 'Disaster assistance', 'Hazardous substances', 'Hazardous waste', 'Intergovernmental relations', 'Natural resources', 'Penalties', 'Reporting and recordkeeping requirements', 'Superfund', 'Water pollution control', 'Water supply'], 'cfr_title': 40}",Title 40 Part 302; Title 40 Part 355,40,Air pollution control; Chemicals; Disaster assistance; Hazardous substances; Hazardous waste; Intergovernmental relations; Natural resources; Penalties; Reporting and recordkeeping requirements; Superfund; Water pollution control; Water supply,13,George W. Bush,Final rule.,2009-01-20,2050-AG37,"42 U.S.C. 9602, 9603, 9604; 33 U.S.C. 1321 and 1361. ; 42 U.S.C. 11002, 11003, 11004, 11045, 11047, 11048 and 11049.","42 USC 9602, 42 USC 9603, 42 USC 9604, 33 USC 1321, 33 USC 1361, 42 USC 11002, 42 USC 11003, 42 USC 11004, 42 USC 11045, 42 USC 11047, 42 USC 11048, 42 USC 11049","33, 42"
219017:73 FR 75246,219017,09-1050,0,OSHA,OSHA,National Maritime Safety Ass'n v. Occupational Safety & Health Administration,02/06/2009,3,Mixed (Affirmed in Part),1,-9,-9,Obama,06/17/2011,Chevron Era,Obama,0,0,73 FR 75246,"The opinion explicitly states it is ""On Petition for Review of a Final Rule of the Occupational Safety & Health Administration,"" and the court is reviewing OSHA's VTL Standard published at 73 Fed. Reg. 75,246 (Dec. 10, 2008). The court grants the petition in part, ""vacating and remanding the Standard with respect to the inspection requirement for ship-to-shore VTLs, 29 C.F.R. § 1917.71(i)(9), and the total ban on platform container VTLs, id. § 1917.71(i)(10),"" confirming this is a direct rulemaking challenge seeking to vacate specific provisions of the final rule.",FOUND,73 FR 75246,E8-28644,2008-12-10,Longshoring and Marine Terminals; Vertical Tandem Lifts,Occupational Safety and Health Administration,Labor Department,Occupational Safety and Health Administration,False,1218-AA56,29 CFR 1917; 29 CFR 1918,https://www.federalregister.gov/documents/2008/12/10/E8-28644/longshoring-and-marine-terminals-vertical-tandem-lifts,True,Rule,Bush43,"OSHA is revising the Marine Terminals Standard and related sections of the Longshoring Standard to adopt new requirements related to the practice of lifting two intermodal containers together, one on top of the other, connected by semiautomatic twistlocks (SATLs). This practice is known as a vertical tandem lift (VTL). The final standard adopted today permits VTLs of no more than two empty containers provided certain safeguards are followed.",,"{'cfr_part': '1917', 'topics': ['Freight', 'Longshore and harbor workers', 'Occupational safety and health', 'Reporting and recordkeeping requirements'], 'cfr_title': 29}; {'cfr_part': '1918', 'topics': ['Freight', 'Longshore and harbor workers', 'Occupational safety and health', 'Reporting and recordkeeping requirements', 'Vessels'], 'cfr_title': 29}",Title 29 Part 1917; Title 29 Part 1918,29,Freight; Longshore and harbor workers; Occupational safety and health; Reporting and recordkeeping requirements; Vessels,45,George W. Bush,Final rule.,2009-04-09,1218-AA56,"Section 41, Longshore and Harbor Workers' Compensation Act (33 U.S.C. 941); secs. 4, 6, and 8 of the Occupational Safety and Health Act of 1970 (29 U.S.C. 653, 655, 657); Secretary of Labor's Order No. 12-71 (36 FR 8754), 8-76 (41 FR 25059), 9-83 (48 FR 35736), 6-96 (62 FR 111), 5-2002 (67 FR 65008), or 5-2007 (72 FR 31160), as applicable; and 29 CFR 1911. ; Sections 4, 6, and 8 of the Occupational Safety and Health Act of 1970, 29 U.S.C. 653, 655, 657; Sec. 41, Longshore and Harbor Workers' Compensation Act, 33 U.S.C. 941; Secretary of Labor's Order No. 6-96 (62 FR 111), 5-2002 (67 FR 65008) , or 5-2007 (72 FR 31160), as applicable; and 29 CFR 1911.","33 USC 941, 33 USC 6, 33 USC 8, 29 USC 653, 29 USC 655, 29 USC 8-76, 29 USC 9-83, 29 USC 6-96, 29 USC 5-2002, 29 USC 5-2007, 29 USC 29, 29 USC 657, 33 USC 5-2002, 33 USC 5-2007, 33 USC 29","29, 33"
182789:74 FR 57085,182789,09-1269,0,7,EPA,"US Magnesium, LLC v. Environmental Protection Agency",11/05/2009,1,Affirmed/Enforced,1,-9,-9,Obama,01/14/2011,Chevron Era,Obama,0,0,74 FR 57085,"USM petitions for review of EPA's final rule adding the US Magnesium site to the National Priorities List, published at 74 Fed. Reg. 57,085 (Nov. 4, 2009), challenging it as ""arbitrary, capricious, an abuse of discretion, or otherwise not in accordance with the law."" The court explicitly frames this as a ""Petition for Review of a Final Action of the Environmental Protection Agency"" and addresses whether the NPL listing was arbitrary or capricious. The 73 Fed. Reg. 51,393 citation is the proposed rule, while 74 Fed. Reg. 57,085 is the final rule actually under challenge.",FOUND,74 FR 57085,E9-26539,2009-11-04,"National Priorities List, Final Rule No. 48",Environmental Protection Agency,Environmental Protection Agency,,True,2050-AD75,40 CFR 300,https://www.federalregister.gov/documents/2009/11/04/E9-26539/national-priorities-list-final-rule-no-48,False,Rule,Obama,"The Comprehensive Environmental Response, Compensation, and Liability Act of 1980 (""CERCLA"" or ""the Act""), as amended, requires that the National Oil and Hazardous Substances Pollution Contingency Plan (""NCP"") include a list of national priorities among the known releases or threatened releases of hazardous substances, pollutants, or contaminants throughout the United States. The National Priorities List (""NPL"") constitutes this list. The NPL is intended primarily to guide the Environmental Protection Agency (""EPA"" or ""the Agency"") in determining which sites warrant further investigation. These further investigations will allow EPA to assess the nature and extent of public health and environmental risks associated with the site and to determine what CERCLA-financed remedial action(s), if any, may be appropriate. This rule adds three sites to the NPL, all to the General Superfund Section.",,"{'cfr_part': '300', 'topics': ['Air pollution control', 'Chemicals', 'Environmental protection', 'Hazardous substances', 'Hazardous waste', 'Intergovernmental relations', 'Natural resources', 'Oil pollution', 'Penalties', 'Reporting and recordkeeping requirements', 'Superfund', 'Water pollution control', 'Water supply'], 'cfr_title': 40}",Title 40 Part 300,40,Air pollution control; Chemicals; Environmental protection; Hazardous substances; Hazardous waste; Intergovernmental relations; Natural resources; Oil pollution; Penalties; Reporting and recordkeeping requirements; Superfund; Water pollution control; Water supply,8,Barack Obama,Final rule.,2009-12-04,2050-AD75,"33 U.S.C. 1321(c)(2); 42 U.S.C. 9601-9657; E.O. 12777, 56 FR 54757, 3 CFR, 1991 Comp., p. 351; E.O. 12580, 52 FR 2923, 3 CFR, 1987 Comp., p. 193.","33 USC 1321, 42 USC 9601-9657, 42 USC 56, 42 USC 3, 42 USC 1991, 42 USC 52, 42 USC 1987","33, 42"
"219628:74 FR 51,368",219628,09-1297,0,7,EPA,Medical Waste Institute & Energy Recovery Council v. Environmental Protection Agency,12/07/2009,1,Affirmed/Enforced,1,-9,-9,Obama,06/24/2011,Chevron Era,Obama,0,0,"74 FR 51,368","The opinion explicitly states ""petitioners petition for review of a regulation promulgated by the Environmental Protection Agency setting performance standards for new and existing hospital/medical/infectious waste incinerators,"" and identifies ""The EPA issued its final rule on October 6, 2009. 74 Fed. Reg. at 51,368"" as the specific rule under challenge. The other FR citations (62 FR 48,348, 72 FR 5510, 73 FR 72,962) appear as regulatory history and background context for the 2009 final rule. The court reviews the petitioners' substantive challenges to this final rule under the Clean Air Act's arbitrary and capricious standard.",FOUND,74 FR 51368,E9-22928,2009-10-06,Standards of Performance for New Stationary Sources and Emissions Guidelines for Existing Sources: Hospital/Medical/Infectious Waste Incinerators,Environmental Protection Agency,Environmental Protection Agency,,True,2060-A004,40 CFR 60,https://www.federalregister.gov/documents/2009/10/06/E9-22928/standards-of-performance-for-new-stationary-sources-and-emissions-guidelines-for-existing-sources,,Rule,Obama,"On September 15, 1997, EPA adopted new source performance standards (NSPS) and emissions guidelines (EG) for hospital/medical/ infectious waste incinerators (HMIWI). The NSPS and EG were established under Sections 111 and 129 of the Clean Air Act (CAA or Act). In a response to a suit filed by the Sierra Club and the Natural Resources Defense Council (Sierra Club), the U.S. Court of Appeals for the District of Columbia Circuit (the Court) remanded the HMIWI regulations on March 2, 1999, for further explanation of EPA's reasoning in determining the minimum regulatory ""floors"" for new and existing HMIWI. The HMIWI regulations were not vacated and were fully implemented by September 2002. On February 6, 2007, we published our proposed response to the Court's remand. Following recent court decisions and receipt of public comments regarding the proposal, we re- assessed our response to the remand, and on December 1, 2008, we published another proposed response and solicited public comments. This action promulgates our response to the Court's remand and also satisfies the CAA Section 129(a)(5) requirement to conduct a review of the standards every 5 years.",,"{'cfr_part': '60', 'topics': ['Administrative practice and procedure', 'Air pollution control', 'Environmental protection', 'Incorporation by reference', 'Intergovernmental relations', 'Reporting and recordkeeping requirements'], 'cfr_title': 40}",Title 40 Part 60,40,Administrative practice and procedure; Air pollution control; Environmental protection; Incorporation by reference; Intergovernmental relations; Reporting and recordkeeping requirements,48,Barack Obama,Final rule.,2009-12-07,2060-A004,"42 U.S.C. 7401, et seq.",42 USC 7401,42
"182109:74 FR 8,184",182109,09-1315,0,8,FERC,City of Idaho Falls v. Federal Energy Regulatory Commission,12/18/2009,2,Reversed/Vacated,1,-9,-9,Obama,01/04/2011,Chevron Era,Obama,0,0,"74 FR 8,184","The court explicitly states ""we grant the petition and vacate FERC's 2009 rental fee update,"" referring to the 2009 Update published at 74 Fed. Reg. 8,184 (Feb. 24, 2009). Petitioners challenged this specific Federal Register publication as an unlawful rulemaking that failed to comply with APA section 553 notice-and-comment requirements. The other FR citations (52 FR 18201, 51 FR 44014, 73 FR 65040, 73 FR 66591, 51 FR 211, 52 FR 82) appear as regulatory background or history of the Forest Service fee schedule methodology.",FOUND,74 FR 8184,E9-3788,2009-02-24,Update of the Federal Energy Regulatory Commission's Fees Schedule for Annual Charges for the Use of Government Lands,Federal Energy Regulatory Commission,Energy Department,Federal Energy Regulatory Commission,False,,18 CFR 11,https://www.federalregister.gov/documents/2009/02/24/E9-3788/update-of-the-federal-energy-regulatory-commissions-fees-schedule-for-annual-charges-for-the-use-of,,Rule,Obama,"In accordance with the Commission's regulations, the Commission by its designee, the Executive Director, is updating its schedule of fees for the use of government lands. The yearly update is based on the most recent schedule of fees for the use of linear rights- of-way prepared by the United States Forest Service. Since the next fiscal year will cover the period from October 1, 2008 through September 30, 2009 the fees in this notice will become effective October 1, 2008. The fees will apply to fiscal year 2009 annual charges for the use of government lands. The Commission has concluded, with the concurrence of the Administrator of the Office of Information and Regulatory Affairs of OMB that this rule is not a ""major rule"" as defined in section 251 of the Small Business Regulatory Enforcement Fairness Act of 1996, 5 U.S.C. 804(2).",,"{'cfr_part': '11', 'topics': ['Electric power', 'Reporting and recordkeeping requirements'], 'cfr_title': 18}",Title 18 Part 11,18,Electric power; Reporting and recordkeeping requirements,17,Barack Obama,Final rule; update of Federal land use fees.,2009-02-24,,16 U.S.C. 791a-825r; 42 U.S.C. 7101-7352.,"16 USC 791a-825r, 42 USC 7101-7352","16, 42"
